,Date,Open,High,Low,Price,Volume
247,2016-11-03,1395.0,1411.55,1395.0,1400.8,35422
248,2016-11-04,1400.0,1405.0,1378.65,1381.0,33344
249,2016-11-07,1390.0,1400.0,1372.0,1379.45,49072
250,2016-11-08,1380.0,1392.55,1365.0,1388.75,201441
251,2016-11-09,1320.0,1364.2,1309.0,1349.1,890202
252,2016-11-10,1365.7,1365.7,1315.0,1318.4,227637
253,2016-11-11,1305.45,1307.0,1261.85,1271.5,507709
254,2016-11-15,1260.0,1260.0,1201.6,1226.2,1847613
255,2016-11-16,1230.2,1264.8,1223.2,1257.0,185068
256,2016-11-17,1256.0,1269.5,1238.5,1250.0,56590
257,2016-11-18,1251.0,1262.0,1244.0,1251.0,192077
258,2016-11-21,1252.0,1252.0,1215.0,1225.25,167191
259,2016-11-22,1225.0,1251.15,1225.0,1247.45,36331
260,2016-11-23,1250.0,1254.5,1206.0,1225.95,47781
261,2016-11-24,1226.0,1228.8,1213.5,1218.35,30127
262,2016-11-25,1230.0,1258.9,1210.55,1255.55,66185
263,2016-11-28,1240.0,1251.45,1234.1,1247.25,89352
264,2016-11-29,1245.0,1284.3,1244.0,1251.0,49281
265,2016-11-30,1259.0,1271.0,1238.95,1265.0,52986
266,2016-12-01,1268.0,1285.75,1261.0,1273.7,970464
267,2016-12-02,1259.2,1259.2,1235.65,1240.05,61055
268,2016-12-05,1240.05,1240.05,1185.0,1218.55,80394
269,2016-12-06,1220.2,1259.8,1220.2,1243.8,107253
270,2016-12-07,1244.05,1282.45,1244.05,1265.45,106837
271,2016-12-08,1275.0,1292.35,1272.9,1287.15,47592
272,2016-12-09,1287.0,1287.3,1260.5,1267.1,63299
273,2016-12-12,1262.75,1277.5,1255.75,1262.4,20632
274,2016-12-13,1261.55,1280.0,1251.2,1271.1,29207
275,2016-12-14,1272.3,1274.85,1258.0,1265.75,42643
276,2016-12-15,1259.0,1276.0,1256.0,1262.0,41727
277,2016-12-16,1265.6,1278.1,1265.6,1267.0,77321
278,2016-12-19,1265.0,1265.0,1245.0,1250.25,34495
279,2016-12-20,1248.0,1252.8,1229.8,1243.25,38519
280,2016-12-21,1244.85,1257.0,1232.4,1236.85,48749
281,2016-12-22,1235.5,1235.5,1214.0,1218.8,98562
282,2016-12-23,1218.0,1231.0,1208.95,1225.2,48719
283,2016-12-26,1221.55,1223.65,1207.0,1222.15,97232
284,2016-12-27,1225.0,1236.0,1212.95,1231.8,38495
285,2016-12-28,1238.05,1247.0,1225.25,1236.9,142302
286,2016-12-29,1238.2,1261.4,1230.25,1256.05,42773
287,2016-12-30,1260.65,1269.4,1249.35,1267.0,472417
288,2017-01-02,1275.0,1275.0,1214.15,1219.25,197843
289,2017-01-03,1219.25,1222.0,1201.0,1215.25,142770
290,2017-01-04,1215.0,1225.0,1197.55,1212.5,584243
291,2017-01-05,1215.9,1219.75,1205.85,1216.55,87122
292,2017-01-06,1216.55,1232.4,1216.55,1222.15,183981
293,2017-01-09,1225.0,1229.0,1214.0,1222.25,31657
294,2017-01-10,1229.75,1229.75,1213.2,1216.45,56620
295,2017-01-11,1228.0,1232.15,1221.75,1230.0,57705
296,2017-01-12,1234.5,1242.5,1217.0,1220.1,75488
297,2017-01-13,1235.0,1248.5,1222.75,1244.1,44493
298,2017-01-16,1245.0,1262.75,1243.0,1255.85,83040
299,2017-01-17,1257.15,1259.7,1235.5,1241.65,41156
300,2017-01-18,1250.6,1260.45,1243.7,1245.0,306182
301,2017-01-19,1247.0,1248.4,1233.75,1238.5,29712
302,2017-01-20,1240.0,1244.4,1231.0,1238.0,57889
303,2017-01-23,1237.3,1260.0,1236.8,1258.75,36208
304,2017-01-24,1260.35,1282.0,1260.35,1278.95,62448
305,2017-01-25,1280.85,1340.5,1280.85,1336.0,110145
306,2017-01-27,1335.0,1374.7,1331.9,1370.7,109667
307,2017-01-30,1370.0,1378.0,1360.5,1368.9,101626
308,2017-01-31,1360.0,1387.4,1353.0,1363.35,58364
309,2017-02-01,1370.0,1420.2,1368.75,1414.95,162061
310,2017-02-02,1405.95,1409.9,1386.6,1409.75,347504
311,2017-02-03,1402.0,1408.0,1386.35,1395.95,167897
312,2017-02-06,1407.0,1412.0,1389.0,1399.55,109020
313,2017-02-07,1399.55,1410.0,1389.0,1405.75,25707
314,2017-02-08,1408.1,1410.7,1384.95,1399.55,102675
315,2017-02-09,1402.0,1421.5,1388.8,1399.1,357072
316,2017-02-10,1409.5,1409.5,1383.35,1388.0,39523
317,2017-02-13,1392.95,1397.0,1373.5,1394.2,32726
318,2017-02-14,1394.3,1403.6,1388.55,1398.2,39494
319,2017-02-15,1399.9,1408.45,1390.0,1401.1,77885
320,2017-02-16,1396.8,1403.95,1386.5,1393.35,32827
321,2017-02-17,1430.0,1431.15,1396.95,1402.05,98367
322,2017-02-20,1402.15,1402.95,1387.5,1394.25,39820
323,2017-02-21,1395.0,1414.0,1389.75,1409.05,42576
324,2017-02-22,1411.0,1415.0,1392.55,1393.9,251029
325,2017-02-23,1399.75,1405.25,1378.7,1385.1,58464
326,2017-02-27,1381.1,1383.75,1368.25,1377.5,86628
327,2017-02-28,1375.0,1384.0,1367.5,1369.0,59487
328,2017-03-01,1368.0,1405.0,1368.0,1392.0,74973
329,2017-03-02,1405.0,1414.9,1392.0,1396.0,92786
330,2017-03-03,1392.65,1395.0,1366.0,1371.35,53554
331,2017-03-06,1380.0,1392.75,1363.55,1365.25,84342
332,2017-03-07,1371.75,1372.9,1362.7,1366.0,48266
333,2017-03-08,1366.0,1376.5,1361.0,1365.0,59080
334,2017-03-09,1366.2,1382.0,1364.5,1371.25,30978
335,2017-03-10,1379.5,1383.35,1369.0,1372.5,140727
336,2017-03-14,1410.0,1429.0,1410.0,1423.1,730187
337,2017-03-15,1424.15,1435.0,1416.35,1428.75,88326
338,2017-03-16,1431.7,1454.65,1431.7,1449.7,463089
339,2017-03-17,1461.55,1461.55,1440.0,1450.0,194029
340,2017-03-20,1450.75,1464.9,1447.0,1458.45,93304
341,2017-03-21,1458.0,1472.45,1449.5,1461.0,161840
342,2017-03-22,1446.7,1454.95,1435.0,1442.4,89042
343,2017-03-23,1445.0,1460.0,1440.0,1459.85,371693
344,2017-03-24,1459.95,1467.7,1455.8,1462.05,414614
345,2017-03-27,1462.0,1479.0,1457.0,1475.0,251294
346,2017-03-28,1474.8,1505.8,1474.8,1503.8,1683652
347,2017-03-29,1510.0,1525.0,1498.9,1518.85,132143
348,2017-03-30,1522.1,1528.35,1511.8,1512.5,1109936
349,2017-03-31,1521.0,1521.0,1498.05,1500.0,117238
350,2017-04-03,1506.35,1536.25,1502.0,1532.7,66095
351,2017-04-05,1532.0,1532.0,1485.7,1490.05,263734
352,2017-04-06,1490.1,1490.1,1469.35,1483.0,64800
353,2017-04-07,1474.7,1493.55,1467.0,1480.7,194293
354,2017-04-10,1500.0,1500.0,1465.0,1465.0,279306
355,2017-04-11,1465.2,1486.5,1462.45,1475.6,144557
356,2017-04-12,1477.0,1477.0,1460.7,1461.4,165827
357,2017-04-13,1463.55,1484.0,1463.15,1470.1,535146
